traceKey,width,kind
ldut_intsource_1_reg_reg,1,reg
ldut_intsource_2_reg_reg,1,reg
ldut_plicDomainWrapper_plic_enables_0_0,2,reg
ldut_plicDomainWrapper_plic_enables_1_0,2,reg
ldut_plicDomainWrapper_plic_maxDevs_0,2,reg
ldut_plicDomainWrapper_plic_maxDevs_1,2,reg
ldut_plicDomainWrapper_plic_out_back_maybe_full,1,reg
ldut_plicDomainWrapper_plic_out_back_ram__v2_bank_0_0,24,reg
ldut_plicDomainWrapper_plic_out_back_ram__v2_bank_0_1,19,reg
ldut_plicDomainWrapper_plic_out_back_ram_data,64,reg
ldut_plicDomainWrapper_plic_pending_0,1,reg
ldut_plicDomainWrapper_plic_pending_1,1,reg
ldut_plicDomainWrapper_plic_priority_0,2,reg
ldut_plicDomainWrapper_plic_priority_1,2,reg
ldut_plicDomainWrapper_plic_threshold_0,2,reg
ldut_plicDomainWrapper_plic_threshold_1,2,reg
ldut_subsystem_cbus_atomics_beatsLeft,9,reg
ldut_subsystem_cbus_atomics_cam_a_0_bits_address,28,reg
ldut_subsystem_cbus_atomics_cam_a_0_bits_size,4,reg
ldut_subsystem_cbus_atomics_cam_a_0_bits_source,5,reg
ldut_subsystem_cbus_atomics_cam_d_0_data,64,reg
ldut_subsystem_cbus_atomics_cam_s_0_state,2,reg
ldut_subsystem_cbus_atomics_d_first_counter,9,reg
ldut_subsystem_cbus_atomics_state_0,1,reg
ldut_subsystem_cbus_atomics_state_1,1,reg
ldut_subsystem_cbus_buffer_bundleIn_0_d_q_maybe_full,1,reg
ldut_subsystem_cbus_buffer_bundleIn_0_d_q_value,1,reg
ldut_subsystem_cbus_buffer_bundleIn_0_d_q_value_1,1,reg
ldut_subsystem_cbus_buffer_bundleOut_0_a_q_maybe_full,1,reg
ldut_subsystem_cbus_buffer_bundleOut_0_a_q_value,1,reg
ldut_subsystem_cbus_buffer_bundleOut_0_a_q_value_1,1,reg
ldut_subsystem_cbus_coupler_to_bootrom_fragmenter_aToggle_r,1,reg
ldut_subsystem_cbus_coupler_to_bootrom_fragmenter_acknum,3,reg
ldut_subsystem_cbus_coupler_to_bootrom_fragmenter_dOrig,3,reg
ldut_subsystem_cbus_coupler_to_bootrom_fragmenter_dToggle,1,reg
ldut_subsystem_cbus_coupler_to_bootrom_fragmenter_gennum,3,reg
ldut_subsystem_cbus_coupler_to_bootrom_fragmenter_repeater_full,1,reg
ldut_subsystem_cbus_coupler_to_bootrom_fragmenter_repeater_saved_address,17,reg
ldut_subsystem_cbus_coupler_to_bootrom_fragmenter_repeater_saved_size,3,reg
ldut_subsystem_cbus_coupler_to_bootrom_fragmenter_repeater_saved_source,5,reg
ldut_subsystem_cbus_coupler_to_clint_fragmenter_aToggle_r,1,reg
ldut_subsystem_cbus_coupler_to_clint_fragmenter_acknum,3,reg
ldut_subsystem_cbus_coupler_to_clint_fragmenter_dOrig,3,reg
ldut_subsystem_cbus_coupler_to_clint_fragmenter_dToggle,1,reg
ldut_subsystem_cbus_coupler_to_clint_fragmenter_gennum,3,reg
ldut_subsystem_cbus_coupler_to_clint_fragmenter_repeater_full,1,reg
ldut_subsystem_cbus_coupler_to_clint_fragmenter_repeater_saved_address,26,reg
ldut_subsystem_cbus_coupler_to_clint_fragmenter_repeater_saved_opcode,3,reg
ldut_subsystem_cbus_coupler_to_clint_fragmenter_repeater_saved_size,3,reg
ldut_subsystem_cbus_coupler_to_clint_fragmenter_repeater_saved_source,5,reg
ldut_subsystem_cbus_coupler_to_debug_fragmenter_aToggle_r,1,reg
ldut_subsystem_cbus_coupler_to_debug_fragmenter_acknum,3,reg
ldut_subsystem_cbus_coupler_to_debug_fragmenter_dOrig,3,reg
ldut_subsystem_cbus_coupler_to_debug_fragmenter_dToggle,1,reg
ldut_subsystem_cbus_coupler_to_debug_fragmenter_gennum,3,reg
ldut_subsystem_cbus_coupler_to_debug_fragmenter_repeater_full,1,reg
ldut_subsystem_cbus_coupler_to_debug_fragmenter_repeater_saved_address,12,reg
ldut_subsystem_cbus_coupler_to_debug_fragmenter_repeater_saved_opcode,3,reg
ldut_subsystem_cbus_coupler_to_debug_fragmenter_repeater_saved_size,3,reg
ldut_subsystem_cbus_coupler_to_debug_fragmenter_repeater_saved_source,5,reg
ldut_subsystem_cbus_coupler_to_plic_fragmenter_acknum,3,reg
ldut_subsystem_cbus_coupler_to_plic_fragmenter_dOrig,3,reg
ldut_subsystem_cbus_coupler_to_plic_fragmenter_repeater_full,1,reg
ldut_subsystem_cbus_coupler_to_plic_fragmenter_repeater_saved_opcode,3,reg
ldut_subsystem_cbus_coupler_to_plic_fragmenter_repeater_saved_size,3,reg
ldut_subsystem_cbus_fixer_a_first_counter,9,reg
ldut_subsystem_cbus_fixer_flight__v2_bank_0_0,16,reg
ldut_subsystem_cbus_fixer_stalls_id,3,reg
ldut_subsystem_cbus_fixer_stalls_id_1,3,reg
ldut_subsystem_cbus_out_xbar_beatsLeft,9,reg
ldut_subsystem_cbus_out_xbar_readys_mask,5,reg
ldut_subsystem_cbus_out_xbar_state_0,1,reg
ldut_subsystem_cbus_out_xbar_state_1,1,reg
ldut_subsystem_cbus_out_xbar_state_2,1,reg
ldut_subsystem_cbus_out_xbar_state_3,1,reg
ldut_subsystem_cbus_out_xbar_state_4,1,reg
ldut_subsystem_cbus_wrapped_error_device_buffer_bundleIn_0_d_q_maybe_full,1,reg
ldut_subsystem_cbus_wrapped_error_device_buffer_bundleIn_0_d_q_value,1,reg
ldut_subsystem_cbus_wrapped_error_device_buffer_bundleIn_0_d_q_value_1,1,reg
ldut_subsystem_cbus_wrapped_error_device_buffer_bundleOut_0_a_q_maybe_full,1,reg
ldut_subsystem_cbus_wrapped_error_device_buffer_bundleOut_0_a_q_value,1,reg
ldut_subsystem_cbus_wrapped_error_device_buffer_bundleOut_0_a_q_value_1,1,reg
ldut_subsystem_cbus_wrapped_error_device_error_a_maybe_full,1,reg
ldut_subsystem_cbus_wrapped_error_device_error_a_ram__v2_bank_0_0,12,reg
ldut_subsystem_cbus_wrapped_error_device_error_a_last_counter,9,reg
ldut_subsystem_fbus_buffer_bundleIn_0_d_q_maybe_full,1,reg
ldut_subsystem_fbus_buffer_bundleIn_0_d_q_value,1,reg
ldut_subsystem_fbus_buffer_bundleIn_0_d_q_value_1,1,reg
ldut_subsystem_fbus_buffer_bundleOut_0_a_q_maybe_full,1,reg
ldut_subsystem_fbus_buffer_bundleOut_0_a_q_value,1,reg
ldut_subsystem_fbus_buffer_bundleOut_0_a_q_value_1,1,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi42tl_b_count_1,3,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi42tl_beatsLeft,8,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi42tl_deq_maybe_full,1,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi42tl_deq_ram__v2_bank_0_0,2,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi42tl_q_b_deq_maybe_full,1,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi42tl_q_b_deq_ram_id,1,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi42tl_r_count_0,3,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi42tl_r_count_1,3,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi42tl_readys_mask,2,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi42tl_state_0,1,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi42tl_state_1,1,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi42tl_w_count_0,3,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi42tl_w_count_1,3,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4frag_busy,1,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4frag_busy_1,1,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4frag_deq_maybe_full,1,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4frag_deq_ram__v2_bank_0_0,60,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4frag_deq_1_maybe_full,1,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4frag_deq_1_ram__v2_bank_0_0,60,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4frag_in_w_deq_maybe_full,1,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4frag_in_w_deq_ram_data,64,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4frag_in_w_deq_ram_strb,8,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4frag_r_addr,32,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4frag_r_addr_1,32,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4frag_r_len,8,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4frag_r_len_1,8,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4frag_w_counter,9,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4frag_wbeats_latched,1,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4yank_QueueCompatibility$$inst_deq_ptr_value,2,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4yank_QueueCompatibility$$inst_enq_ptr_value,2,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4yank_QueueCompatibility$$inst_maybe_full,1,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4yank_QueueCompatibility_1_deq_ptr_value,2,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4yank_QueueCompatibility_1_enq_ptr_value,2,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4yank_QueueCompatibility_1_maybe_full,1,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4yank_QueueCompatibility_2$$inst_deq_ptr_value,2,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4yank_QueueCompatibility_2$$inst_enq_ptr_value,2,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4yank_QueueCompatibility_2$$inst_maybe_full,1,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4yank_QueueCompatibility_3_deq_ptr_value,2,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4yank_QueueCompatibility_3_enq_ptr_value,2,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4yank_QueueCompatibility_3_maybe_full,1,reg
