traceKey,width,kind
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi42tl_deq_ram__v2_bank_0_0,2,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi42tl_q_b_deq_maybe_full,1,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi42tl_q_b_deq_ram_id,1,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi42tl_r_count_0,3,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi42tl_r_count_1,3,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi42tl_readys_mask,2,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi42tl_state_0,1,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi42tl_state_1,1,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi42tl_w_count_0,3,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi42tl_w_count_1,3,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4frag_busy,1,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4frag_busy_1,1,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4frag_deq_maybe_full,1,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4frag_deq_ram__v2_bank_0_0,60,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4frag_deq_1_maybe_full,1,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4frag_deq_1_ram__v2_bank_0_0,60,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4frag_in_w_deq_maybe_full,1,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4frag_in_w_deq_ram_data,64,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4frag_in_w_deq_ram_strb,8,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4frag_r_addr,32,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4frag_r_addr_1,32,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4frag_r_len,8,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4frag_r_len_1,8,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4frag_w_counter,9,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4frag_wbeats_latched,1,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4yank_QueueCompatibility$$inst_deq_ptr_value,2,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4yank_QueueCompatibility$$inst_enq_ptr_value,2,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4yank_QueueCompatibility$$inst_maybe_full,1,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4yank_QueueCompatibility_1$$inst_deq_ptr_value,2,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4yank_QueueCompatibility_1$$inst_enq_ptr_value,2,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4yank_QueueCompatibility_1$$inst_maybe_full,1,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4yank_QueueCompatibility_2_deq_ptr_value,2,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4yank_QueueCompatibility_2_enq_ptr_value,2,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4yank_QueueCompatibility_2_maybe_full,1,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4yank_QueueCompatibility_3_deq_ptr_value,2,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4yank_QueueCompatibility_3_enq_ptr_value,2,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_axi4yank_QueueCompatibility_3_maybe_full,1,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_buffer_bundleIn_0_d_q_maybe_full,1,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_buffer_bundleIn_0_d_q_value,1,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_buffer_bundleIn_0_d_q_value_1,1,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_buffer_bundleOut_0_a_q_maybe_full,1,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_buffer_bundleOut_0_a_q_value,1,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_buffer_bundleOut_0_a_q_value_1,1,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_fixer_a_first_counter,9,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_fixer_flight__v2_bank_0_0,16,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_fixer_stalls_id,1,reg
ldut_subsystem_fbus_coupler_from_port_named_slave_port_axi4_fixer_stalls_id_1,1,reg
ldut_subsystem_l2_wrapper_broadcast_1_REG,1,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker$$inst_address,32,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker$$inst_count,1,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker$$inst_got_e,1,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker$$inst_o_data_maybe_full,1,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker$$inst_o_data_value,3,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker$$inst_o_data_value_1,3,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker$$inst_opcode,3,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker$$inst_sent_d,1,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker$$inst_shared,1,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker$$inst_size,3,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker$$inst_source,5,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker_1$$inst_address,32,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker_1$$inst_count,1,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker_1$$inst_got_e,1,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker_1$$inst_o_data_maybe_full,1,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker_1$$inst_o_data_value,3,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker_1$$inst_o_data_value_1,3,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker_1$$inst_opcode,3,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker_1$$inst_sent_d,1,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker_1$$inst_shared,1,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker_1$$inst_size,3,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker_1$$inst_source,5,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker_2$$inst_address,32,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker_2$$inst_count,1,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker_2$$inst_got_e,1,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker_2$$inst_o_data_maybe_full,1,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker_2$$inst_o_data_value,3,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker_2$$inst_o_data_value_1,3,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker_2$$inst_opcode,3,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker_2$$inst_sent_d,1,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker_2$$inst_shared,1,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker_2$$inst_size,3,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker_2$$inst_source,5,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker_3$$inst_address,32,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker_3$$inst_count,1,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker_3$$inst_got_e,1,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker_3$$inst_o_data_maybe_full,1,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker_3$$inst_o_data_value,3,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker_3$$inst_o_data_value_1,3,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker_3$$inst_opcode,3,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker_3$$inst_sent_d,1,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker_3$$inst_shared,1,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker_3$$inst_size,3,reg
ldut_subsystem_l2_wrapper_broadcast_1_TLBroadcastTracker_3$$inst_source,5,reg
ldut_subsystem_l2_wrapper_broadcast_1_beatsLeft,3,reg
ldut_subsystem_l2_wrapper_broadcast_1_beatsLeft_1,3,reg
ldut_subsystem_l2_wrapper_broadcast_1_state_1_0,1,reg
ldut_subsystem_l2_wrapper_broadcast_1_state_1_1,1,reg
ldut_subsystem_l2_wrapper_broadcast_1_state_1_2,1,reg
ldut_subsystem_l2_wrapper_broadcast_1_state_1_3,1,reg
ldut_subsystem_l2_wrapper_broadcast_1_state_1_4,1,reg
ldut_subsystem_l2_wrapper_broadcast_1_state__0,1,reg
ldut_subsystem_l2_wrapper_broadcast_1_state__1,1,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility$$inst_deq_ptr_value,3,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility$$inst_enq_ptr_value,3,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility$$inst_maybe_full,1,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_1$$inst_deq_ptr_value,3,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_1$$inst_enq_ptr_value,3,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_1$$inst_maybe_full,1,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_10_deq_ptr_value,3,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_10_enq_ptr_value,3,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_10_maybe_full,1,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_11_deq_ptr_value,3,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_11_enq_ptr_value,3,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_11_maybe_full,1,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_12_deq_ptr_value,3,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_12_enq_ptr_value,3,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_12_maybe_full,1,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_13_deq_ptr_value,3,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_13_enq_ptr_value,3,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_13_maybe_full,1,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_14$$inst_deq_ptr_value,3,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_14$$inst_enq_ptr_value,3,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_14$$inst_maybe_full,1,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_15_deq_ptr_value,3,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_15_enq_ptr_value,3,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_15_maybe_full,1,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_16_deq_ptr_value,3,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_16_enq_ptr_value,3,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_16_maybe_full,1,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_17_deq_ptr_value,3,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_17_enq_ptr_value,3,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_17_maybe_full,1,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_18$$inst_deq_ptr_value,3,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_18$$inst_enq_ptr_value,3,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_18$$inst_maybe_full,1,reg
ldut_subsystem_mbus_coupler_to_memory_controller_port_named_axi4_axi4yank_QueueCompatibility_19_deq_ptr_value,3,reg
